Object z log_F_1350 σ_F log_L_1350 σ_L 𝜏 σ_Lower σ_Upper 
NGC4395 0.001064 −11.4848 0.0272 39.9112 0.0272 0.040 0.018 0.024 
NGC3783 0.00973 −9.7341 0.0918 43.5899 0.0918 3.80 0.9 1.0 
NGC7469 0.01632 −9.9973 0.0712 43.7803 0.0712 2.5 0.2 0.3 
3C390.3 0.0561 −10.8036 0.2386 44.0719 0.2386 35.7 14.6 11.4 
NGC4151 0.00332 −9.7544 0.1329 42.6314 0.1329 3.34 0.77 0.82       
NGC5548 0.01676 −10.2111 0.0894 43.5899 0.0894 4.53 0.34 0.35       
CTS286 2.551 −11.6705 0.0719 47.0477 0.0719 459 92 71         
CTS406 3.178 −12.0382 0.0402 46.9101 0.0402 98 74 55         
CTS564 2.653 −11.7615 0.0664 46.9978 0.0664 115 29 184       
CTS650 2.659 −11.8815 0.1068 46.8802 0.1068 162 10 33         
CTS953 2.526 −11.7082 0.0868 46.9996 0.0868 73 58 115       
CTS1061 3.368 −11.4788 0.0405 47.5299 0.0405 91 24 111        
J214355 2.607 −11.7786 0.0485 46.9624 0.0485 136 90 100        
J221516 2.709 −11.6263 0.0569 47.1550 0.0569 153 12 91        
DESJ0228-04 1.905 −11.9791 0.0405 46.4298 0.0405 123 42 43         
DESJ0033-42 2.593 −12.2248 0.0201 46.5105 0.0201 95 23 16         
RMID032 1.715 −13.8040 0.0210 44.4928 0.0210 21.1 8.3 22.7       
RMID052 2.305 −13.1121 0.0021 45.4990 0.0021 32.6 2.1 6.9        
RMID181 1.675 −13.7265 0.0149 44.5451 0.0149 102.1 10.0 26.8      
RMID249 1.717 −13.3140 0.0099 44.9841 0.0099 22.8 11.5 31.3       
RMID256 2.244 −13.4939 0.0030 45.0888 0.0030 43.1 15.1 49.0      
RMID275 1.577 −12.5961 0.0010 45.6110 0.0010 76.7 3.9 10.0       
RMID298 1.635 −12.6497 0.0010 45.5960 0.0010 82.3 24.5 64.5       
RMID312 1.924 −13.3424 0.0040 45.0770 0.0040 70.9 3.3 9.6       
RMID332 2.581 −13.1795 0.0020 45.5510 0.0020 83.8 6.5 23.3      
RMID387 2.426 −12.9782 0.0010 45.6870 0.0010 48.4 10.1 34.7       
RMID401 1.822 −12.8714 0.0030 45.4900 0.0030 60.6 13.0 36.7      
RMID418 1.418 −13.0533 0.0030 45.0398 0.0030 58.6 21.3 51.6       
RMID470 1.879 −13.5732 0.0060 44.8210 0.0060 27.4 22.0 63.5       
RMID527 1.647 −13.4655 0.0030 44.7880 0.0030 47.3 5.0 13.3       
RMID549 2.275 −13.2283 0.0020 45.3690 0.0020 68.9 9.6 31.6      
RMID734 2.332 −13.0935 0.0010 45.5299 0.0010 68.0 11.5 38.2       
RMID363 2.635 −12.2525 0.0206 46.4997 0.0206 300.4 4.7 17.1      
RMID372 1.745 −12.6952 0.0198 45.6201 0.0198 67.0 7.4 20.4         	 
RMID651 1.486 −12.7234 0.0198 45.4200 0.0198 91.7 22.7 56.3       
S50836+71 2.172 −11.5354 0.0680 47.0128 0.0680 230 59 91          
SBS1116+603 2.646 −11.5013 0.0485 47.2553 0.0485 65 37 17        
SBS1425+606 3.192 −11.2978 0.0356 47.6551 0.0356 285 53 30 
