Object_3000 z_3000 log_F_3000 σ_F3000 𝜏_3000 σ_Lower3000 σ_Upper3000
018 0.848 −13.1412 0.0009 125 7.0 6.8
028 1.392 −12.4734 0.0004 65.7 14.2 24.8
038 1.383 −12.3664 0.0003 120.7 28.7 27.9
044 1.233 −13.04308 0.0013 65.8 4.8 18.8
102 0.861 −12.5575 0.0005 86.9 13.3 16.2
114 1.226 −11.8369 0.0003 186.6 15.4 20.3
118 0.715 −12.2592 0.0006 102.2 19.5 27
123 0.891 −12.8942 0.0009 81.6 26.6 28
135 1.315 −12.8122 0.0005 93.0 9.8 9.6
158 1.478 −13.2376 0.0012 119.1 11.8 4.0
159 1.587 −12.7139 0.0006 324.2 19.4 25.3
160 0.36 −12.8441 0.0013 106.5 16.6 18.2
170 1.163 −12.6802 0.0005 98.5 17.7 6.7
185 0.987 −12.8039 0.0094 387.9 3.0 3.3
191 0.442 −13.0544 0.0012 93.9 29.1 24.3
228 1.264 −13.2697 0.0011 37.9 9.1 14.4
232 0.808 −13.1895 0.0014 273.8 4.1 5.1
240 0.762 −13.3270 0.0021 17.2 2.8 3.5
260 0.995 −12.4126 0.0004 94.9 17.2 18.7
280 1.366 −12.5531 0.0003 99.1 9.5 3.3
285 1.034 −13.2539 0.0020 138.5 21.1 15.2
291 0.532 −13.2471 0.0016 39.7 2.6 4.2
294 1.215 −12.4272 0.0004 71.8 9.5 17.8
301 0.548 −12.8782 0.0011 136.3 16.9 17
303 0.821 −13.3066 0.0013 57.7 8.3 10.5
329 0.721 −11.9680 0.0007 87.5 14.0 23.8
338 0.418 −12.9969 0.0013 22.1 6.2 8.8
419 1.272 −12.9765 0.0011 95.5 15.5 15.2
422 1.074 −13.0946 0.0011 109.3 29.6 25.4
440 0.754 −12.5157 0.0004 114.6 10.8 7.4
441 1.397 −12.5772 0.0004 127.7 7.3 5.7
449 1.218 −12.9299 0.0013 119.8 24.4 14.7
457 0.604 −13.4805 0.0029 20.50 5.3 7.7
459 1.156 −12.8737 0.0011 122.8 5.7 5.1
469 1.004 −12.1222 0.0002 224.1 74.3 27.9
492 0.964 −12.3786 0.0004 92.0 12.7 16.3
493 1.592 −12.2173 0.0004 315.6 35.7 30.7
501 1.155 −12.9728 0.0009 44.9 10.4 11.7
505 1.144 −13.0625 0.0011 94.7 16.7 10.8
522 1.384 −12.9671 0.0006 115.8 16.0 11.3
556 1.494 −12.6492 0.0005 98.7 10.8 13.9
558 0.998 −12.1158 0.0002 74.3 18.2 23
593 0.992 −12.7093 0.0006 80.1 20.8 21.4
622 0.572 −12.6232 0.0005 61.7 4.3 6
645 0.474 −12.7268 0.0009 30.2 8.9 26.8
649 0.85 −13.0437 0.0013 165.5 25.1 22.2
651 1.486 −12.9434 0.0011 76.5 15.6 18
675 0.919 −12.5273 0.0005 139.8 22.6 12
678 1.463 −12.8267 0.0007 82.9 10.2 11.9
709 1.251 −12.9586 0.0010 85.4 19.3 17.7
714 0.921 −12.8296 0.0012 320.1 11.2 11.3
756 0.852 −13.1462 0.0023 315.3 16.4 20.5
761 0.771 −12.6395 0.0024 102.1 7.4 8.2
771 1.492 −12.4477 0.0004 31.3 4.6 8.1
774 1.686 −12.5786 0.0004 58.9 10.1 13.7
792 0.526 −13.5353 0.0030 111.4 20.0 29.5
848 0.757 −13.3199 0.0015 65.1 16.3 29.4
J141214 0.4581 −12.2526 0.00043 36.7 4.8 10.4
J141018 0.4696 −13.1883 0.0050 32.3 5.3 12.9
J141417 0.6037 −13.4926 0.0029 29.1 8.8 3.6
J142049 0.751 −12.7205 0.0009 34.0 12.0 6.7
J141650 0.5266 −13.2586 0.00198 25.1 2.6 2.0
J141644 0.4253 −12.8667 0.00105 17.2 2.7 2.7
CTS252 1.890 −11.6068 0.09142 190.0 114.0 59
NGC4151 0.0033 −9.5484 0.18206 6.8 2.1 1.7
NGC4151 0.0033 −9.5484 0.18206 5.3 1.8 1.9
CTSC30 0.9005 −11.5825 0.026 564.0 71.0 109
HE0413 1.3765 −11.3203 0.0434 302.9 19.1 23.7
HE0435 1.2231 −11.5754 0.036 296 14.0 13.0
J02522 1.62425 −12.6489 0.05203 198.82 19.83 16.96
J02161 1.56043 −12.7064 0.04075 51.46 8.95 14.37
J033553 1.57774 −12.3688 0.04223 48.14 8.82 22.05
J003710 1.06703 −12.1225 0.04395 191.76 18.47 27.62
J003207 1.53278 −12.5873 0.02829 146.97 0.87 2.43
J003015 1.64984 −12.7328 0.04608 185.55 4.72 14.55
J003052 1.42754 −12.5959 0.03380 166.76 10.88 11
J003234 1.64058 −12.5643 0.03011 248.82 11.64 18.10
J003206 1.7496 −12.7498 0.09277 157.80 4.95 12.77
